AWARD_LONG_TITLE,PRPSL_LONG_TITLE,PRPSL_ABSTRACT,KEY_TERMS,GOLD_STANDARD_CATEGORIES,RCDC_CATEGORY,RCDC_SCORE,RCDC_TOP_3
Center for Team Effectiveness to Accelerate EBP Implementation in Children's Mental Health Services: Methods Core,Center for Team Effectiveness to Accelerate EBP Implementation in Children's Mental Health Services: Methods Core,"PROJECT SUMMARY (Methods Core)
Team approaches to meet organizational goals are utilized broadly and globally in industry, the military, space
exploration, and health settings. The TEAMS Methods Core is integral to adapting and advancing team-based
models, approaches, strategies, methods, and evaluation for children’s mental health and for the larger center
activities. Of note, the Methods Core will lead innovation by leveraging natural language processing (NLP)
technology to develop tools to rapidly assess team functioning in real-world settings. Within community service
systems caring for children with mental health needs, the assessment of team effectiveness—although crucial
for improving team functioning—can be a laborious and cumbersome task. Innovations in technology related to
the automatic capturing of communication between team members can lessen the burden in assessing and
improving team effectiveness. The Methods Core will lead innovation by leveraging natural language processing
technology to develop tools to rapidly assess team functioning in real-world settings. The Methods Core
investigators have already been collaborating closely with the Administrative Core, the R01, and the R34 teams,
and Community Service System Workgroup stakeholders in selecting, adapting and shaping strategies and
approaches to implementation and improvement for children’s mental health across service system settings. The
Methods Core is a team effort led by Drs. Aarons (implementation science, mental health), Burke (team
effectiveness, team strategies), and Sklar (mental health services, evaluation) (see biosketches). The Methods
Core is organized to address four aims: Aim 1) Integrate models and strategies from team effectiveness research
and implementation science to improve children’s mental health services, Aim 2) Apply multilevel and advanced
methods and designs for team-based implementation research, and Aim 3) Lead the design and implementation
of a multi-level, longitudinal, iterative evaluation to refine the Center’s research activities, maximize the Center’s
impact and inform plans for future collaborative research.",,Clinical Research; Dissemination and Implementation Research; Health Services; Machine Learning and Artificial Intelligence; Mental Health; Pediatric; Primary Health Care,Prevention,0.9198750257492065,Prevention:0.919875; Dissemination and Implementation Research:0.916051; Mental Health:0.914807
Statewide System and Organizational Strategy for Evidence-Based Practice Implementation and Sustainment in Substance Use Disorder Treatment,Statewide System and Organizational Strategy for Evidence-Based Practice Implementation and Sustainment in Substance Use Disorder Treatment,"PROJECT SUMMARY ABSTRACT
The NIH has called for testing promising implementation strategies (PAR-19-274) and there is a critical need for
implementation and sustainment of effective and evidence-based practices (EBPs) to address health conditions
including substance use disorders (SUDs). This proposed project is consistent with NIDA’s Priority Focus Area
“Strategies to improve the effective and sustainable implementation of evidence-based prevention and treatment
interventions (implementation science).” Most implementation strategies do not address the complex multilevel
context for implementation in public service sectors. This proposed project will expand the Leadership and
Organizational Change for Implementation (LOCI) intervention, an innovative organizational change strategy for
EBP implementation and sustainment, to include partnership with a statewide Department of Mental Health and
Addiction (DMHA) and Community Mental Health Centers (CMHCs) in order to align state-level leadership
policies and directives with organizational implementation improvement strategies. SUDs are among the most
complex of public health issues and Indiana ranks as the fourth worst state in providing SUD services with about
8.5% of the population meeting criteria for a SUD, of whom only 13.6% seek treatment. Indiana DMHA
approached the UCSD LOCI team to aid in the implementation of combined Motivational Enhancement
Therapy/Cognitive Behavioral Therapy (MET/CBT) The main innovation in this project is that, consistent with the
Exploration, Preparation, Implementation, Sustainment (EPIS) framework and system and organizational theory,
we will add a system level component to LOCI with the goal of bridging outer and inner context and developing
and aligning a positive implementation climate to support implementation and sustainment of MET/CBT for
SUDs. This project will test an implementation strategy that seeks to align, system, organization, and clinic
leadership and strategies to implement and sustain an EBP for substance use disorders. The Leadership and
Organizational Change for Implementation - System Level (LOCI-SL) seeks to improve implementation
leadership, climate, provider attitudes and behaviors, and EBP fidelity and client engagement in services. LOCI-
SL will be tested in a statewide mental health and addiction service system and its community mental health
centers.",,Behavioral and Social Science; Brain Disorders; Clinical Research; Clinical Trials and Supportive Activities; Dissemination and Implementation Research; Drug Abuse (NIDA only); Health Services; Mental Health; Social Determinants of Health; Substance Misuse,Screening and Brief Intervention for Substance Misuse,0.9420140385627747,Screening and Brief Intervention for Substance Misuse:0.942014; Substance Misuse:0.940358; Dissemination and Implementation Research:0.935204
Strengthening Research Administration Infrastructure for HIV Research in Nigeria,Strengthening Research Administration Infrastructure for HIV Research in Nigeria,"Program Summary
Nigeria has one of the largest HIV epidemics in the world with 1.8 million people living with HIV infection. The
United States government has made huge investments in HIV care and research in Nigeria, through the
Presidents Emergency Funds for AIDS Relief (PEPFAR)-supported programs and the National Institutes for
Health (NIH) research training grants that have supported the training of researchers in Nigerian universities.
Research on HIV in Nigeria has contributed significantly to the management, treatment, and prevention of HIV
in the country as well to the development of international guidelines worldwide. The University of Nigeria Nsukka
(UNN) College of Medicine has implemented multiple HIV research projects mostly as a sub-awardee. Findings
from our rapid needs assessment with 84 UNN researchers and research administrators indicated that 93% of
researchers expressed interest in submitting grant applications, including for HIV research, but only 28% knew
who to contact for proposal and submission support at UNN. For UNN to successfully submit and manage grant
applications as a prime institution, there is need to strengthen its research administration and management
infrastructure. The objectives of this proposal are to: 1) further identify needs and gaps in research administration
and management at UNN; 2) improve the grants management and proposal development knowledge and skills
of UNN research administrators and HIV implementation researchers; and 3) strengthen the ability of UNN
research administrators and HIV implementation researchers to submit and manage successful HIV grant
applications by providing mentorship, ongoing coaching and online courses from UCSD program instructors. UC
San Diego experts in research administration and grant management will implement the objectives of the
proposed infrastructure development training program. The proposed program will be led by Dr. Gregory Aarons,
Professor and Director of UC San Diego Altman Clinical and Translational Research Institute Dissemination and
Implementation Science Center (DISC) as Program Director, and Dr. Echezona Ezeanolue, Professor and
Director of UNN Centre for Translation and Implementation Research (CTAIR) as Co-Director. Drs. Aarons and
Ezeanolue have an existing relationship and extensive experience building capacity in Nigerian institutions
through the Nigeria Implementation Science Alliance (NISA). A team of research administration and grant
management experts from UC San Diego will train and provide ongoing mentoring to research administrators
and grant management staff at UNN over a 3-year period. By the end of this infrastructure development training
program, 12 UNN research administrators and grant managers will be able to successfully submit and manage
NIH, Centers for Disease Control and Prevention (CDC) and other funded HIV grants.",,Dissemination and Implementation Research; HIV/AIDS; Infectious Diseases,Building Research Capacity at Institutions with Limited NIH Funding,0.9179922938346863,Building Research Capacity at Institutions with Limited NIH Funding:0.917992; Clinical Research:0.905239; Clinical Trials and Supportive Activities:0.904618
ACCESS: Accelerating Cervical Cancer Elimination through the integration of Screen-and-treat Services,ACCESS: Accelerating Cervical Cancer Elimination through the integration of Screen-and-treat Services,"Program Summary
Nigeria has one of the largest HIV epidemics in the world with 1.8 million people living with HIV infection. With
an estimated female population of 102 million and HIV prevalence of 1.6% among adult females, Nigeria has the
largest population of women and the 4th largest number of women living with HIV (WLHIV) in Africa. Although
access to antiretroviral therapy (ART) among WLHIV in Nigeria has increased over the years, with over 98% of
the 960,000 WLHIV on ART, AIDS-related mortality remains high. In 2020, 16,000 WLHIV died from AIDS-
related illnesses including cervical cancer. A pilot implementation program in Nigeria demonstrated that
leveraging the U.S. President’s Emergency Plan for AIDS Relief (PEPFAR) supported HIV programs for the
provision of evidence-based cervical cancer screen-and-treat interventions in WLWH is feasible. The pilot
program demonstrated, however, that tailored implementation strategies will be needed to address specific
multilevel barriers along the cancer control continuum in order to address adoption, reach, and sustainability that
are necessary for successful scale-up. However, in many African countries with a high burden of both HIV and
cervical cancer, there is a paucity of evidence-based implementation strategies to inform effective integration of
HIV and cervical cancer services delivery. Objectives of this proposal are to: 1) Refine strategies to integrate
cervical cancer screening, treatment and management within existing comprehensive HIV treatment programs
and determine implementation readiness; 2) Determine the comparative effectiveness of a Core set of
implementation strategies versus Core+ enhanced implementation strategies; and 3) assess sustainment of the
integration of cervical cancer screening, treatment, and management intervention into HIV programs. We have
assembled a strong team from University of California San Diego; University of Nigeria, Nsukka and John
Hopkins University with expertise in implementation science, HIV care and research, and cancer care and
research. Our proposal is responsive to the NCI RFA and consistent with the World Health Organization global
plan of elimination of cervical cancer by 2030. If effective, the proposed project will result in a set of feasible,
culturally adaptable, and sustainable implementation strategies to integrate evidence-based cervical cancer
screening and treatment into HIV programs in order to improve the health and life expectancy of WLHIV.",,Behavioral and Social Science; Cancer; Cervical Cancer; Clinical Research; Clinical Trials and Supportive Activities; Dissemination and Implementation Research; HIV/AIDS; Health Services; Infectious Diseases; Prevention; Women's Health Research,Cervical Cancer,0.9245242476463318,Cervical Cancer:0.924524; Cancer:0.916211; Ovarian Cancer:0.913318
Training Program in Cancer Biology,Training Program in Cancer Biology,"Project Summary
The Icahn School of Medicine at Mount Sinai proposes to continue a highly successful Training Program in
Cancer Biology for 5 predoctoral students and 5 postdoctoral fellows. The planned duration is up to 2 years
for each predoctoral slot and up to 3 years for each postdoctoral slot. The projected number of individuals to
be trained over the proposed project period is 15 predoctoral and 10 postdoctoral fellows. Its leadership has
extensive experience in cancer research mentoring and a well-documented commitment to both graduate
education and postdoctoral training. This institutional program encompasses training faculty from 6 basic
and 4 clinical departments as well as 12 matrix institutes and involves laboratory and computational
research. The dynamic and interdisciplinary nature of the Program is evidenced by co- authored papers
and multi-investigator grants. All faculty members have peer-reviewed R01 or R01-equivalent support
from funding agencies for cancer-related studies. The Program attracts and develops a cadre of outstanding
Ph.D. and M.D., Ph.D. students, and postdoctoral fellows, with our earliest trainees having established
cancer-focused research careers at prestigious institutions. The curriculum for predoctoral and
postdoctoral trainees involves common elements including several new advanced didactic and multi-modal
cancer biology courses and advanced electives, which impart state-of-the-art training in emerging
technologies critical to basic and translational cancer investigations. All trainees also participate in
regular conferences, which further expose them to clinical aspects of cancer. There are important specific
training elements for each component as well. There is a rigorous evaluation and selection process, and
the program is both cognizant of and actively involved in diversity recruitment. New components of the
program also include additional training venues to specifically aid postdoctoral trainees in seeking
academic positions and a formal training faculty track in which promising junior faculty members may
apply with a training faculty member to co-mentor a highly qualified trainee, an approach providing
mentorship by the training faculty member both of the trainee and the faculty co-mentor. The program has
contributed importantly to the remarkable increase in cancer research and NCI funding over the past
decade. Mount Sinai has also made enormous commitments in resources and facilities benefitting the
Program including support for specific elements by the Tisch Cancer Institute an NCI designated Cancer
Center and the Department of Oncological Sciences. Trainees work closely with faculty drawn from
throughout Mount Sinai ensuring that their training is both rigorous and sufficiently broad in scope to
take into account practical issues faced by physicians in preventing and treating cancer.",,Cancer,Cancer,0.9174162745475769,Cancer:0.917416; Prostate Cancer:0.907638; Breast Cancer:0.904960
Accuracy and Precision in CT Quantification of COPD Through Virtual Imaging Trials,Accuracy and Precision in CT Quantification of COPD Through Virtual Imaging Trials,"Chronic Obstructive Pulmonary Disease (COPD) is a leading cause of death. Increasing in prevalence, COPD
is a major burden to patients and providers. Computed tomography (CT) can provide valuable information
about the structural and functional abnormalities of the disease as demonstrated in numerous studies where
quantitative CT is deployed to characterize and evaluate the treatment. For instance, the COPDGene study
has recently shown the substantial role of quantitative CT in the redefinition of COPD diagnosis, and in
evaluating the progression of emphysema over time. However, these biomarkers vary across different
scanners, settings, and patient attributes. There is a crucial need to manage this variability by optimizing and
harmonizing CT images for reliable biomarker quantifications across both current and emerging scanners.
This goal is not possible through conventional methods of using physical phantoms or patient images. Physical
phantoms are often oversimplified and not representative of the complex anatomy and physiology of COPD
patients. Patient images are ground-truth-limited, i.e., the exact anatomy and physiology of the patient is not
fully known. Further, patient-based comparisons require multiple acquisitions of the same subjects across
different scanners and settings. This is not ethically possible since repeated imaging increases the absorbed
radiation dose. These challenges can be overcome through the use of virtual imaging trials (VITs) where
studies are performed in silico using computational models of patients and scanners. VITs can provide reliable
and practical solution to the challenge of COPD imaging provided realistic models of patients and scanners.
Such models are currently lacking in the context of COPD.
We develop and then utilize realistic virtual imaging toolsets to systematically evaluate and optimize CT
biomarkers in COPD patients across scanners, imaging parameters, and patient attributes. We develop the
first library of realistic COPD patient models with diverse attributes and severities. Coupled with accurate
models of different scanners, the phantoms will be used to generate sets of ground-truth-known virtual CT
cases, to be disseminated to the research community and to be used to systematically evaluate the effects of
current and emerging scanners, various patient attributes, and the effects of image processing algorithms
(through a national challenge), on the accuracy and precision of COPD biomarkers. Further, we develop and
optimize a truth-based artificial intelligence-based algorithm for COPD quantifications. We optimize the
algorithm for accuracy and reproducibility, taking advantage of the ground-truth known simulated images
. We
then harmonize CT settings across different scanners to accurately and precisely assess COPD imaging
biomarkers for both single time-point and longitudinal studies.
The studies will be done for the top two image
processing algorithms, identified in the challenge, as well as our developed algorithm. Through these efforts,
the project will position CT as a more reliable method for improved characterization and monitoring of COPD.",,Bioengineering; Biomedical Imaging; Chronic Obstructive Pulmonary Disease; Clinical Research; Lung; Networking and Information Technology R&D (NITRD),Chronic Obstructive Pulmonary Disease,0.9349139332771301,Chronic Obstructive Pulmonary Disease:0.934914; Emphysema:0.931803; Prevention:0.927791
B cell-T cell crosstalk in celiac disease,B cell-T cell crosstalk in celiac disease,"PROJECT SUMMARY/ABSTRACT
Celiac disease (CeD) is a complex intestinal inflammatory disorder that is triggered by dietary gluten and
develops in genetically susceptible individuals expressing HLA-DQ2 or HLA-DQ8 molecules. 1% of the
worldwide population is affected by this disease for which the only effective treatment is a lifelong and
restrictive gluten-free diet (GFD). Yet, persistent symptoms and enteropathy remain commonplace even
among CeD patients that adhere to a GFD. This stresses the need to develop non-dietary interventions for
CeD. The development of new therapies has however proven challenging because of our incomplete
understanding of the immune mechanisms underlying CeD pathogenesis and the lack of a suitable mouse
model. CeD is characterized by the loss of oral tolerance to gluten manifested by HLA-DQ2 or HLA-DQ8-
restricted anti-gluten inflammatory CD4 T cells in the small intestinal mucosa and by a massive expansion of
cytotoxic intraepithelial CD8+ lymphocytes (IE-CTLs) that are involved in the killing of intestinal epithelial cells.
These observations have led to the general idea that CeD is primarily a T cell-mediated immune disorder. We
hypothesize, however, that B cells also play a critical role. This hypothesis stems from several observations.
First, CeD is characterized by a considerable expansion of plasma cells in the mucosa of CeD patients as well
as the development of anti-deamidated gluten peptides (DGP) antibodies and autoantibodies against the
enzyme tissue transglutaminase 2 (TG2). Second, the main model to explain the production of anti-DGP and
anti-TG2 antibodies is that gluten-specific CD4+ T cells provide help to B cells suggesting that B cells could act
as antigen-presenting cells for T cells and promote the amplification of the anti-gluten CD4 T cell response.
Finally, several case reports on patients having CeD associated with another autoimmune disease suggest
that B cell depletion therapy can provide clinical benefit in CeD, and we have demonstrated that B cell
depletion significantly reduces intestinal tissue damage in our mouse model of CeD. The objective of this
application is to characterize in vivo the role of B cells in amplifying the anti-gluten T cell response and allow it
to reach a sufficient magnitude to promote tissue destruction. This project is innovative as it employs unique
mouse models of CeD allowing to manipulate B lymphocytes, gluten-specific T cells, the gluten antigen, and
the CeD predisposing HLA molecule to 1) assess the contribution of B cells as antigen-presenting to the
activation and amplification of the anti-gluten CD4+ T cell response, and 2) assess the role of B cells and
antibodies in the activation of IE-CTLs and tissue destruction. The knowledge gained from this study will
provide unprecedented insights into the mechanisms by which B cell-mediated immunity contribute to the
pathogenesis of CeD and will assess for the first time the therapeutic potential of B cell depletion therapy in an
experimental mouse model of CeD.",,Autoimmune Disease; Celiac Disease; Digestive Diseases; Immunotherapy; Nutrition,Celiac Disease,0.9500314593315125,Celiac Disease:0.950031; Autoimmune Disease:0.943594; Crohn's Disease:0.939399
AI-Driven Frailty Assessment and Molecular Correlation: A Multimodal Mentorship Initiative,AI-Driven Frailty Assessment and Molecular Correlation: A Multimodal Mentorship Initiative,"Dr. Peter Abadir is an active Geriatrician and associate professor of Medicine, Electrical, and Computer Engineering at Johns Hopkins University (JHU). He has put forth this K24 Mid-Career Development proposal dedicated to mentorship in patient-centric translational research. Dr. Abadir’s research connects molecular changes associated with aging to physical and cognitive declines observed in older adults. He's been instrumental in bridging the fields of aging research and engineering at JHU, leading to the creation of both the Hopkins GeroTech Program and Artificial Intelligence and Technology Collaboratory (AITC) for Aging Research.
Candidate: Dr. Abadir is committed to further training to broaden his research program and mentor emerging scholars from both biology and engineering. Recognized as an accomplished clinician-scientist, he boasts significant achievements in translational research, particularly concerning frailty and Alzheimer's disease. His escalating leadership roles span both institutional and national platforms centered on patient-oriented research and aging-focused mentorship. As the co-PI of the Johns Hopkins AITC and the co-director of its Clinical Translation and Validation Core, Dr. Abadir actively contributes to the innovation of technologies tailored for older adults. Furthermore, he directs the molecular measurement core at the Older American Independence Center (OAIC) and is the associate director of the Translational Aging Research Training Program (T32). 
Mentoring Plan/Environment: Dr. Abadir's K24 proposal taps into the wealth of training assets at Johns Hopkins including resources from the JHU AITC, OAIC, the Institute for Clinical and Translational Research, and various T32 training grants. Special attention is given to mentoring investigators focused on populations at highest risk for aging-related conditions. Ideal mentees exhibit interest at the intersection of aging, technology, and Geroscience. The structured mentoring approach categorizes mentees based on experience, allocating specific effort percentages to ensure quality interactions. Regular individual meetings, hands-on research training, data interpretation, and presentation skills enhancement form core of mentoring strategy. Multi-tiered evaluations ensure consistent mentorship quality. This strategy aims to cultivate future leaders in translational aging research from both biological and engineering fields.
Research Plan: The pioneering research funded by this K24 award aims to harness Artificial Intelligence (AI) tools and analytics for assessing physical and cognitive digital biosignals in frail older individuals including those with Alzheimer’s disease and associating these with molecular markers. The study will evaluate the accuracy and reliability of a new method that uses AI to analyze non-invasive multimodal biometric signals like speech, voice, eye movements, handwriting, and gait. This methodology will enhance our understanding of the varied characteristics of frailty in older individuals and pinpoint early cognitive shifts, including signs of Alzheimer’s. Building upon the existing efforts at Johns Hopkins AITC and OAIC, this research seeks to uncover new insights and broaden avenues for upcoming researchers.",,Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Behavioral and Social Science; Bioengineering; Brain Disorders; Clinical Research; Dementia; Machine Learning and Artificial Intelligence; Networking and Information Technology R&D (NITRD); Neurodegenerative; Patient Safety,Precision Medicine,0.9110515117645264,Precision Medicine:0.911052; Clinical Research:0.902965; Clinical Trials and Supportive Activities:0.902435
Biological Mechanisms Core - RC2,Biological Mechanisms Core - RC2,"Resource Core 2 (RC2) Biological Mechanisms Core: Project Summary
The identification of the etiologies of frailty and age-related vulnerability remains a crucial challenge for
gerontological research. Key to this challenge are the development of a better understanding of the underlying
biological basis that contributes to frailty and the identification of key biological pathways for the development
of interventions that might help prevent or alleviate frailty and loss of independence. The goal of Johns Hopkins
Older Americans Independence Center (OAIC) Biological Mechanisms Core (RC-2) is to enable the next
generation of frailty-related etiological discovery and to promote the translation of these discoveries into
clinically relevant diagnostic, preventive, and treatment modalities. This will be achieved through the provision
of high-quality biological and bioengineering measurement expertise, incorporation of new technologies,
analytical and computational expertise for genetics and omics analyses, and infrastructure necessary to attain
this goal. In order to comprehensively encompass the biological expertise necessary to study frailty-related
etiology, we have engaged a leadership team and internal consultants with complementary and synergistic
biological and translational expertise needed to unravel the complex biological mechanisms that underpin
frailty. They also all bring mentorship skills for trainees, and infrastructure to RC-2 and national prominence to
frailty research. The specific aims of RC-2 are to: 1) provide state of the art scientific expertise, infrastructure,
and technology necessary to advance biological and etiological research related to frailty, 2) provide access to
biological samples from human subjects and from animal models necessary to test hypotheses related to
frailty, 3) facilitate the translation of biological findings into interventions or prevention-focused clinical studies,
4) provide training, mentorship, and guidance to promising junior investigators around biological mechanisms
that impact frailty, and 5) provide institutional and external visibility for RC-2 related science and activities. Our
aims will be accomplished through close communication between the core leaders and their laboratories, close
partnership with the other OAIC cores, and the engagement of expert consultants in the highly relevant areas
of mitochondrial measurement, metabolomics, epigenetics, mouse model development, nanotechnologies for
diagnostic and treatment development, and the development of multi-omic analyses related to frailty. By
providing these resources, RC-2 will foster high quality research that elucidates clinically relevant biological
pathways that underlie frailty and related interventions that hold promise to attenuate frailty, related conditions,
and the loss of independence.",,Aging; Bioengineering; Biotechnology; Prevention,Cerebrovascular,0.9274563193321228,Cerebrovascular:0.927456; Prevention:0.920260; Cardiovascular:0.918258
Translational Aging Research Training Program,Translational Aging Research Training Program,"The U.S. population is aging rapidly, with a rising burden of chronic diseases, functional impairments, and cognitive decline among older adults. In parallel, major scientific advances have expanded our understanding of the biological mechanisms underlying aging and have introduced engineering and bioengineering innovations with the potential to extend healthspan, the period of life spent in good health. However, a persistent gap remains in translating these discoveries into real-world interventions that improve clinical outcomes and enhance healthspan for older adults.
To address this translational gap, the Translational Aging Research Training Program was launched in 2018 to develop future leaders in aging research. Despite disruptions due to COVID-19, the program successfully trained 14 fellows from clinical, biological, and engineering, disciplines. This renewal proposes an enhanced program embedded in the interdisciplinary ecosystem of the Johns Hopkins Human Aging Project (HAP), an institutional initiative that foster collaborative research and training to extend the healthspan and improve the lives of older adults. 
This program will continue to leverage strong scientific leadership, a rich research infrastructure, and a supportive environment that welcomes individuals from all backgrounds committed to excellence in aging research. Its specific aims are to:
1) Deliver an interdisciplinary training experience in translational aging research for postdoctoral fellows (MD and/or PhD), structured around core coursework, interdisciplinary meetings, weekly translational aging seminars, individualized development plans, and leadership training.
2) Provide each fellow with a mentored research experience in translational aging science, either in biology, engineering, or clinical research.
3) Enable access to a broad network of resources and aging-focused research infrastructure at Johns Hopkins.
4) Prepare trainees for long-term success in academic careers through individualized mentoring and professional development activities.
By the end of the program, trainees will possess:
-Interdisciplinary expertise in aging biology, clinical geriatrics, and engineering approaches to aging-related problems;
-Skills in translational science to move discoveries from bench to bedside;
-Competencies in leadership and collaboration to pursue impactful research careers that aim to extend healthspan and improve aging-related outcomes.",,Aging,Aging,0.9293780326843262,Aging:0.929378; Clinical Research:0.926778; Prevention:0.924687
Geriatrics Research: From Bench-to-Bedside,Geriatrics Research: From Bench-to-Bedside,"PROJECT SUMMARY/ABSTRACT
Resilience, defined as the ability to respond to stressors, declines with age and co-morbid conditions in older
organisms. To date, little progress has been made to improve our understanding of resilience with aging and
its multi-component dimensions in response to physical, cognitive, and social stressors, in part because
resilience itself is likely a dynamic multi-systemic process that is most evident under conditions of stress. This
application is for a five-year cooperative conference grant to continue the successful “Geriatrics Research:
Bench-to-Bedside” series. The series has had an outstanding impact. Past conferences represented
“paradigm-shifting” moments and “pivotal” junctures in areas such as frailty, multimorbidity, and delirium. Here
we propose to build bridges and bring together resilience scientists and experts from the physical, cognitive,
and social domains to discuss, debate, and learn from each other the dynamic multi-component phenomena of
resilience. In the first conference, Overview of the Resilience World: State of the Science, we will focus on
setting the stage and discuss working definitions of resilience from physical, cognitive, and psychosocial fields.
A goal will be to identify areas of commonalities and differences and how we can operationalize a shared
concept so that “resilience” can be quantified appropriately in different contexts. In the second conference,
Stress tests and Biomarkers of Resilience, we aim to discuss resilience stress test paradigms and
molecular markers that may be associated with resilient outcomes. Building on the first conference, this
conference will refer to operationalized definitions of resilience and resilient outcomes, acknowledging that
definitions may differ slightly across fields and contexts. Lastly, the third conference is entitled Optimizing
Resilience. By integrating the foundation built in the first two conferences, we will focus on interventions to
optimize resilience in older adults. This conference series, once completed, will serve as a forum and a
unifying thread that will bring together national research leaders to build an integrative multidimensional
understanding of resilience in older organisms.",,Aging; Behavioral and Social Science,Regenerative Medicine,0.9324953556060791,Regenerative Medicine:0.932495; Sarcopenia:0.931683; Rehabilitation:0.930196
Sex Differences in Gut Metabolite-Immune Interplay in Hypertension and Renal End-Organ Damage,Sex Differences in Gut Metabolite-Immune Interplay in Hypertension and Renal End-Organ Damage,"PROJECT SUMMARY/ABSTRACT
Nearly half of the ~116 million Americans with hypertension are salt-sensitive and confer a 3-fold higher risk of
developing cardiovascular disease. Only 26% of hypertensive patients reach blood pressure (BP) control, which
may be due to lack of studies in females despite the growing evidence for sex differences in hypertensive
mechanisms. It is known that the gut microbiota and immune system are critical in hypertension in males; this is
largely unknown in females. The objective of this grant is to address this knowledge gap regarding the role of
the gut microbiota and immune system to mediate sex differences in salt-sensitive hypertension. Mechanistic
studies will be performed in male and female Dahl Salt-Sensitive (SS) rats, with translational studies performed
in samples from opposite-sex twin pairs where the males have hypertension compared to females.
Dahl SS rats, a model consistent with human salt-sensitive hypertension, exhibit a greater degree of salt-
sensitivity and associated end-organ damage in males compared to females. We have observed stark sex
differences in gut microbiota composition and gut-derived metabolites. Through microbiota transfer studies, we
know the gut microbiota plays a causal role in the regulation of BP and renal damage. Linking the microbiota to
immunity, microbiota transfer also influences renal T cell infiltration. Genetic deletion of T cells (SSCD247–/–)
eliminates sex differences in salt-sensitive hypertension, highlighting the role of T cells to mediate BP sex
differences. Since the gut microbiota influences renal T cell infiltration, and T cells amplify salt-sensitive
hypertension, we have strong rationale for studying how sex-specific microbiota impact T cell function and salt-
sensitivity. We will test the central hypothesis that gut microbiota-dependent T cell activation determines
the extent of salt-sensitive hypertension and mediates the sex differences in disease severity.
Our hypothesis will be rigorously tested with three aims: Aim 1 will test the hypothesis that the gut microbiota
drives sex differences in salt-sensitive hypertension. Sex-specific microbiota transfer and gonadectomy studies
will reveal whether the gut microbiota sex- and hormone-dependently contributes to salt-sensitive hypertension
in SS rats. Aim 2 will test the hypothesis that the male versus female gut microbiota influences sex differences
in T cell function and activation. Microbiota transfer in SSCD247–/– rats lacking T cells will assess the impact of sex
and gut microbiota on T cell bioenergetics and cytokine production, and will address whether T cells are required
for gut microbiota-dependent salt-sensitive hypertension. Aim 3 will determine whether the sex-specific
observations in gut microbiota, gut metabolites, and T cell function in the SS rat similarly parallel humans from
a longitudinal opposite-sex twin cohort, where the males exhibit hypertension compared to their female twin pair.
These studies will reveal key mechanisms related to gut microbiota-immune-kidney crosstalk and provide the
preclinical and human basis for developing novel, sex-specific targets to improve BP control and kidney disease.",,Cardiovascular; Hypertension; Kidney Disease; Microbiome; Women's Health Research,Hypertension,0.9168753623962402,Hypertension:0.916875; Urologic Diseases:0.909334; Kidney Disease:0.908382
Mechanism of innate immune activation by intestinal distension,Mechanism of innate immune activation by intestinal distension,"SUMMARY
The ability to distinguish harmful and beneficial microbes is critical for the survival of an organism. Increasing
evidence indicates that gut distension caused by bacterial colonization activates a broad innate immune
response. We propose that microbial colonization and bloating of the intestine may be perceived as a danger
signal that activates an immune fight-and-flight response. This innate immune activation depends on inputs
from the intestine that can aid in the recognition of a broad range of microbes and can modulate host
responses using a neural-gut axis that controls immune homeostasis. This proposal describes experiments
designed to elucidate the mechanisms by which the nervous system may sense overall changes in host
physiology during pathogen infections and coordinate innate immune responses. Using the nematode
Caenorhabditis elegans, we have demonstrated that specific genes and neurons in the nervous system of the
animal control immune responses, indicating that cell non-autonomous signals from different neurons may act
on non-neural tissues to regulate innate immune responses at the organismal level. We propose the use of a
variety of molecular and genetic techniques to explore the general hypothesis that alterations in host
physiology caused by bacterial infections trigger innate immune responses against bacterial infections that are
controlled at that whole animal level by the nervous system.",,Genetics; Infectious Diseases; Neurosciences,Digestive Diseases - (Peptic Ulcer),0.9180634021759033,Digestive Diseases - (Peptic Ulcer):0.918063; Inflammatory Bowel Disease:0.913946; Digestive Diseases:0.908872
